,sleep,fowg,wtshdiss,badperson,eat_public,eat_worry,anxiety,worthless,restrict,desirethin,overvalwtsh,reject,mistakes,highstand,iuc,saa,intrus_thought,fearloc,bodydiss,ineffective,food_intrus,guilty,shame,sad,si,thought_death,scared,feelfat,tired,agitated,relax,urge_restrict,stress,skipmeal,foodrules,vomit,laxdiur,binge,bodycheck,impulse,exercise,compulsion,avoid_food,selfharm,hunger_anx,smallportion,drink_public,avoid_emo,avoid_sit,emo_overwhelm,eat_anx,rumination,heartrace,physsens_eat,attn_others,worryoverwhelm,physsens,socialanx,sens_body,ridthoughts,memories,chewspit
HR_Mean,-0.1519406768555294,0.2909908690953657,-0.6751412983415335,0.4884376375047052,0.08465910177249666,0.06902365518986664,0.09863255123794105,-0.36143452452866787,0.16459247948923955,0.378674474106718,0.6341336420935338,0.13024950655637793,0.06462880416484372,-0.07126132740940504,0.017429486291257387,0.19973898408879676,0.4208233284051659,-0.056172926894950764,-0.4277555154165501,0.09703289407019496,0.4117057572314358,0.19285097307568988,0.3991437024355688,0.7537280446303852,,,0.450837617385151,-0.05784755560471146,-0.12539600296472667,0.2561101292499925,-0.10409201585594267,0.7352274757668905,0.7822316929094131,0.0910238840508602,-0.5969235638646364,-0.09049330480592678,0.07991566559986983,-0.08173544530682521,-0.13000256970196247,-0.03928399527186287,0.4783061721655603,0.05448551132148731,0.0070749948093570955,,0.13069332989324495,0.41280531174934915,-0.1632362796973982,0.6111840924213864,0.49083513778016374,0.9189299626869099,0.20901807871066544,0.39240607160317154,0.02384487659657202,-0.17010129575011307,0.2028140878215409,0.026704501322449357,0.32511121782180563,0.13285658216535565,0.7991361254289828,-0.02459848961874195,0.5722660143697836,0.6868301464843406
HR_Minimum,-0.24156761309571004,0.45987818391578267,-0.3090674414191306,0.48783968992968985,-0.0284865812498279,-0.3004608775700969,-0.07091682895368805,-0.42766510439912864,-0.06294776368777592,0.44170224358767585,0.3103061606840215,-0.045384231826507485,0.28804939155002235,0.12722294608570678,-0.17836362374566647,0.024739142184653874,0.09633834919849842,-0.12616081082867212,-0.11383859439918352,-0.3080646704616166,0.31104574381311917,0.05268161283601866,0.47335099803866515,0.6520429223168582,,,0.45914191252018977,-0.03632372360929198,-0.24646837831953441,-0.03816063611627485,-0.05069819641127845,0.39791487196823766,0.6968091139176007,-0.13312462606308328,-0.6421130519732289,0.38744120003968585,-0.12248357804342573,0.4059898249991262,-0.12210427660355426,0.4608470065509605,0.3638217146019928,0.37831666678795,-0.49064062711115697,,0.03492852709898087,-0.0314731030737177,-0.26357909262179746,0.5409166987098158,0.1423366485435728,0.9499529034359792,0.1213014374645792,0.4995328171216316,-0.4047528995560899,-0.3770857073745903,0.24563717097867693,-0.43600587010980346,0.6591432752474752,0.4143919170158948,0.9586570734281803,-0.3499727839367489,0.2874712903870544,0.43737485694158784
HR_Stdev,-0.1324743308066229,0.13318235156802588,-0.7102104318002449,0.31350856090315293,0.08135619378149536,0.2536094209685537,0.3219430062870939,-0.41075893125171453,0.38089087557832974,0.34029334968419483,0.9013635628046102,0.3855165181059998,-0.46074766564836905,-0.541369108239936,0.4848235969032392,0.44974825828748355,0.3940000649452186,0.09436160365988307,-0.6372291975768406,0.41853396654328767,0.2852161749256577,0.20972640570814544,-0.004361449947916417,0.712419843667183,,,0.17095297699370815,0.15092403066838622,0.17221346333822574,0.31724311788363696,0.05698061096753578,0.6620805904847626,0.4793778899648967,0.5081692624751861,-0.1823445490534832,-0.5081412608336504,0.5498876643083549,-0.508667148433766,0.1193371823250393,-0.5199345274201574,0.5374288297993388,-0.3154816852096687,0.5596436632035309,,0.3089789964696787,0.7707341673732937,-0.009316143815018735,0.570996678220425,0.6584589445410042,0.591977347797554,0.30743071078665746,0.22733012268435818,0.6101407070177236,-0.13081076890069854,-0.04019406122401239,0.43152556871946396,-0.15856179526263653,-0.042500728681295646,0.4127339320682833,0.5332693079230462,0.8515205852981209,0.8443373504470656
HR_RMS,-0.15638762502562056,0.29026615548051754,-0.6800409083282447,0.48360994383012895,0.08579867126620418,0.07205904256561063,0.10988552582730216,-0.3714056403360945,0.17499130267541785,0.3818183893284781,0.6511504597406131,0.1404618065791857,0.04362411216821838,-0.09188064738095562,0.03727058338936527,0.20698770182633328,0.4197472777330146,-0.05175591893835353,-0.4356653465903442,0.10739727886816441,0.4052649551386818,0.1955754809885988,0.3888115412940012,0.7627055100863261,,,0.4398786512659908,-0.04409588693489509,-0.11151427908090153,0.25994121550646465,-0.09226108311767821,0.7342166774089693,0.7790292596830661,0.10633650263834547,-0.5889454959566862,-0.10033284271401355,0.1005902226715188,-0.09177147500101776,-0.11540132944482347,-0.051341910144752374,0.4861721163553799,0.04782244728371907,0.022735197470887945,,0.1419352320286078,0.4261898822344308,-0.15500606297003444,0.6138695722975976,0.5025758585695287,0.9157509410150663,0.21750209505204518,0.39437259715856404,0.044323698321590665,-0.17344758606772503,0.19003314730960513,0.037956294031466595,0.3116355340660996,0.13517716211804123,0.7941824376800573,-0.006018529107225319,0.5901486470587332,0.7014270699715109
HR_MAD,-0.10734590018331072,0.11166849182186422,-0.7044449988309575,0.3174412729969149,0.04202746035537069,0.24637949879906773,0.2878263670116984,-0.40224577598721245,0.3488166600872387,0.333614235805539,0.8830643335897007,0.41421528762055304,-0.4733713820344495,-0.5453952576824982,0.48253406796931125,0.49446200693159575,0.375866960242461,0.1264725661450662,-0.6434015720566717,0.40294540706159854,0.3036938038996578,0.1720280347877264,-0.05069242927876934,0.6818563610264785,,,0.18267970341438583,0.11244341919355404,0.13569350853492365,0.2960073060656378,0.02753418400744125,0.6686377862770603,0.43597372063604484,0.5440693304732608,-0.1374282729037382,-0.5465243453202286,0.5550813269588019,-0.5451550925112476,0.08316261905563585,-0.5542404583464975,0.5442087143890234,-0.3661927016499809,0.5937585626962478,,0.27113985582972955,0.7755141994874007,-0.05431480555888846,0.5741801647746002,0.6271143229884245,0.5760093197879328,0.26671819603268915,0.20947787902002576,0.6183250005415867,-0.12911436383009217,0.0017189813599871563,0.431645761810982,-0.1794654030721652,-0.08653337388859518,0.3941726852449347,0.5638881281193376,0.8353833098911361,0.8221386206460382
HR_MAV,-0.175020165720256,0.29596995470167237,-0.6864432054264505,0.471344258754458,0.0926364267196579,0.12313134741914143,0.23135455759825002,-0.4373446358733799,0.289362670130424,0.44049079438217587,0.8067615301055422,0.23341292092306853,-0.1833913084934055,-0.3181887668243049,0.26661078161580987,0.33989436508122906,0.3981061527831159,-0.01940015404367362,-0.5632980446855785,0.23077855361762892,0.3889354487642921,0.22259886188132888,0.23737052586359184,0.793675208375966,,,0.363984920728816,0.06951118525301814,0.02597775957924867,0.246209570196325,-0.025695135078538194,0.7033602436448043,0.6861579592338778,0.29114164987213825,-0.4294979300088258,-0.24332183056271808,0.3247625276899741,-0.23953084997360186,0.006768089766222059,-0.22359090115999486,0.5223853489469792,-0.09467466930493657,0.22626162234582245,,0.2546922375244689,0.6000371490964498,-0.1118858641769981,0.6691104688167145,0.5688709457541736,0.8499185363179302,0.29877793397076535,0.3404806448673681,0.2954590113424557,-0.22616553201125347,0.08681392428560536,0.1861305297058358,0.17047766350885837,0.1072479484175709,0.7062582968354546,0.23954122974281486,0.7447473839351342,0.805583583260274
HR_Median,-0.11791808120863576,0.27942139477276157,-0.6733968741868129,0.47230480679199327,0.12093751728758913,0.08427892823010749,0.08330229921931981,-0.3110173154052639,0.15314399006555995,0.3370038937022084,0.5753591478304219,0.07114227584391739,0.15554870396994572,0.02020649741317731,-0.06642507122276005,0.11353276111254067,0.4547554826336637,-0.09121057064095428,-0.3774909732399872,0.08766341728188362,0.39912910166976723,0.216258095193612,0.47788540946322333,0.732213300765038,,,0.45824873142297173,-0.07977391795120692,-0.14124486064090727,0.28898426229479135,-0.11603994918768003,0.737467532575653,0.8261921067952533,-0.005690901627539948,-0.6676614592625852,-0.03567354579441044,-0.011941601135677386,-0.027966616165788594,-0.15325567787693162,0.02035015873794382,0.43841058176699255,0.1229863408825717,-0.0662115331084098,,0.11335999318529195,0.3537390593826384,-0.13271265196439438,0.5639590162381714,0.48922262811323103,0.913113497923219,0.20389028642851256,0.395632924596996,-0.05643580166202006,-0.12268823940771457,0.20442237778141212,0.0028135726153697763,0.36230110062331855,0.14559510519747687,0.7992503449319597,-0.12697083750638716,0.5102902277058845,0.6427542935282432
HR_P25,-0.11463159601855746,0.29575435608032713,-0.6126640319629877,0.4871272889574596,0.11562780781296171,0.04370567981093301,0.02287815187886841,-0.2625076435113462,0.09113827597618962,0.3216797135390978,0.4623012662364267,-0.0011268541361574536,0.2766419610763562,0.13771123401219998,-0.17730592364550982,0.05139807218886007,0.4340822671374475,-0.12517860205717118,-0.30785344005930126,0.010164069953813634,0.4124476954412675,0.19903733113676095,0.5383642511375095,0.6751893596065013,,,0.502466199159444,-0.13535394480689458,-0.20682321126747086,0.24950757750359479,-0.16168536394407004,0.7039420249371876,0.8328692018633284,-0.107207196927458,-0.7104749163459483,0.05767857794218571,-0.13046657320609897,0.06639994925511428,-0.21334927010592072,0.12422672255996701,0.38134974475015654,0.18999742484162196,-0.18706194737873683,,0.05859544980371845,0.2483665972051631,-0.1666818522927313,0.5349246886486237,0.4056082791452302,0.9191216371804033,0.16260709610286203,0.39077163753746685,-0.18975052016136437,-0.11888936862319047,0.25655952624676814,-0.08577827661941086,0.4521748435202701,0.16271731502758227,0.8258281447482069,-0.24822937044024992,0.39618183565588894,0.5467259062357397
HR_P75,-0.11152506491520985,0.2433266310628299,-0.7171135284229908,0.49543116692740974,0.07211696532867337,0.14087369792556892,0.11384441900443515,-0.3329584491967285,0.19116052400902003,0.3699076973600959,0.6793483089790605,0.18871772435884454,-0.01098694534312787,-0.13457112866650323,0.07938053046826256,0.29432723427904234,0.4557582128573669,-0.017794208271558278,-0.5101762263286925,0.17395173576681144,0.4530881231103552,0.18817510518376004,0.3164986222453087,0.7231862706570972,,,0.4570603791183262,-0.0899527890977908,-0.12002549371102683,0.2732575066619272,-0.14647729738971255,0.7846044181541701,0.7274085985277303,0.18448942237281366,-0.508071782963107,-0.23326353890006038,0.14378713359089215,-0.22613769021274774,-0.15612444244759358,-0.18803468604469054,0.4888905418784976,-0.0810035594829251,0.15672904612551883,,0.12560929290787215,0.5194889862887829,-0.187088847008323,0.6320253981906457,0.5136727264875977,0.8731888960895713,0.19543188665788852,0.3267878516248622,0.1434499451372095,-0.13852682467169897,0.22502212417687492,0.13453798011814633,0.22932476227010667,0.026275468679965216,0.7260404765905752,0.09816779856137536,0.6097909225964637,0.7021368639490232
EDA_Mean,0.4045473926103947,0.16691229859804743,-0.2075635308833262,0.7131007625596226,0.3227057485537172,0.6132420013062096,0.04794094278024393,0.6280838376702077,0.19125012710250572,0.2150483699980192,-0.07809433541226855,-0.40898237683532856,0.5764826981693187,0.4587122742405133,-0.3178354980872529,0.2747766590231226,0.6628421941961234,-0.41511418882213447,-0.6428000228632629,0.3891541944863948,0.9087316192151735,0.36289062340222167,0.36248018688235967,-0.29242262321422746,,,0.8900617283637933,-0.6481674183308059,-0.30266826130882685,-0.009422015788384712,-0.9245892155803208,0.5771765498982039,0.29030821263818707,-0.26419424336770936,-0.09129434381712412,-0.41526275182749445,-0.4829511605765504,-0.45189038361515016,-0.7101088616383981,-0.4122893652323896,-0.41138759391116814,-0.49593615829175813,0.19601419500883246,,-0.09146556901830528,0.5015373886549066,-0.3841537148051564,0.46263093319649323,-0.12139513888339974,0.2701126309036835,0.03375027239384792,-0.6163992282055567,0.04340389106289682,0.17196678567960805,0.5659880968336739,0.4481844508435157,0.3472043625537035,-0.6217630202246159,0.10368588268959823,-0.04130385985561525,-0.29229255838062923,-0.26821379872269546
